Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
107,SAWANTWADI R,MADGOAN JN.,10:25:00,12:10:00,78,4,0 days 01:45:00
108,MADGOAN JN.,SAWANTWADI R,20:30:00,22:25:00,83,4,0 days 01:55:00
128,MADGOAN JN.,CHHATRAPATI,19:40:00,17:45:00,978,22,0 days 22:05:00
290,DELHI-SAFDAR,DELHI-SAFDAR,18:30:00,02:30:00,2694,14,5 days 08:00:00
401,AURANGABAD,VARANASI JN.,21:30:00,10:00:00,1618,12,1 days 12:30:00
421,LUCKNOW JN.,SHRI MATA VA,23:00:00,08:00:00,1276,5,1 days 09:00:00
422,SHRI MATA VA,LUCKNOW JN.,11:45:00,14:30:00,1277,5,1 days 02:45:00
477,SIRSA,SIRSA,12:10:00,15:20:00,2616,14,2 days 03:10:00
502,RAJENDRANAGA,AMBALA CANTT,10:30:00,09:30:00,1206,9,0 days 23:00:00
504,PATNA JN.,BATHINDA JN,09:00:00,10:00:00,1313,3,1 days 01:00:00
506,PATNA JN.,PATIALA,14:15:00,15:45:00,1161,3,1 days 01:30:00
557,URKURA,PANJIPARA,23:30:00,11:00:00,1301,2,0 days 11:30:00
604,PATNA JN.,AMRITSAR JN.,12:30:00,16:00:00,1429,3,1 days 03:30:00
1011,CST-MUMBAI,NAGPUR JN.(C,00:20:00,14:20:00,841,18,0 days 14:00:00
1037,LOKMANYA TIL,SAWANTWADI R,01:10:00,10:30:00,513,10,0 days 09:20:00
1038,SAWANTWADI R,LOKMANYA TIL,14:05:00,00:20:00,503,10,0 days 10:15:00
1045,LOKMANYA TIL,KARMALI,01:10:00,11:00:00,563,11,0 days 09:50:00
1119,AJNI,KARMALI,19:50:00,20:30:00,1329,24,1 days 00:40:00
1120,KARMALI,AJNI,21:30:00,22:00:00,1319,24,1 days 00:30:00
1122,KARMALI,CST-MUMBAI,22:30:00,10:30:00,569,14,0 days 12:00:00
1196,NAGPUR JN.(C,KARMALI,19:50:00,21:30:00,1332,26,1 days 01:40:00
1301,PUNE JN.,MANGALORE JN,18:50:00,12:30:00,976,17,0 days 17:40:00
1302,MANGALORE JN,PUNE JN.,15:45:00,13:10:00,973,17,0 days 21:25:00
1442,DELHI-SAFDAR,KHADKI,11:15:00,02:15:00,1581,13,1 days 15:00:00
1655,PUNE JN.,JABALPUR,10:45:00,06:15:00,1050,13,0 days 19:30:00
1656,JABALPUR,PUNE JN.,19:30:00,14:05:00,1050,13,0 days 18:35:00
1705,BANDRA TERMI,JABALPUR,00:15:00,21:40:00,1261,14,0 days 21:25:00
1706,JABALPUR,BANDRA TERMI,14:20:00,11:15:00,1262,14,0 days 20:55:00
1707,JABALPUR,ATARI JN,09:15:00,11:45:00,1360,17,1 days 02:30:00
1708,ATARI JN,JABALPUR,14:45:00,17:20:00,1362,17,1 days 02:35:00
2025,CST-MUMBAI,KARMALI,05:00:00,13:20:00,579,7,0 days 08:20:00
2026,KARMALI,CST-MUMBAI,14:30:00,23:00:00,569,7,0 days 08:30:00
2191,JABALPUR,SANTRAGACHI,20:10:00,16:00:00,1123,16,0 days 19:50:00
2192,SANTRAGACHI,JABALPUR,20:40:00,15:50:00,1123,16,0 days 19:10:00
2195,REWA,BHOPAL,13:20:00,23:00:00,551,10,0 days 09:40:00
2196,BHOPAL,REWA,23:45:00,09:45:00,549,10,0 days 10:00:00
2515,TRIVANDRUM C,SILCHAR,00:05:00,05:00:00,3939,58,3 days 04:55:00
2651,PALANI,POLLACHI,07:45:00,09:10:00,62,3,0 days 01:25:00
2652,POLLACHI,PALANI,16:45:00,18:10:00,62,3,0 days 01:25:00
2731,HYDERABAD DE,JAIPUR JN.,16:25:00,06:25:00,1854,29,1 days 14:00:00
2732,JAIPUR JN.,HYDERABAD DE,14:35:00,02:00:00,1853,29,1 days 11:25:00
2821,PUNE JN.,SANTRAGACHI,10:30:00,18:15:00,2066,14,1 days 07:45:00
2822,SANTRAGACHI,PUNE JN.,18:30:00,02:45:00,2073,14,1 days 08:15:00
2833,RAJKOT,SANTRAGACHI,22:20:00,16:35:00,2332,29,1 days 18:15:00
2834,SANTRAGACHI,RAJKOT,21:05:00,13:45:00,2351,29,1 days 16:40:00
2841,SANTRAGACHI,CHENNAI CENT,12:40:00,15:20:00,1656,12,1 days 02:40:00
2842,CHENNAI CENT,SANTRAGACHI,18:20:00,23:30:00,1656,12,1 days 05:10:00
2845,PUNE JN.,HATIA,10:45:00,18:20:00,1770,17,1 days 07:35:00
2846,HATIA,PUNE JN.,21:00:00,02:45:00,1791,17,1 days 05:45:00
3101,KOLKATA,PURI,23:55:00,11:50:00,523,9,0 days 11:55:00
3102,PURI,KOLKATA,22:45:00,10:25:00,522,9,0 days 11:40:00
3301,ASANSOL MAIN,DHANBAD JN.,10:10:00,11:35:00,58,13,0 days 01:25:00
3302,DHANBAD JN.,ASANSOL MAIN,11:45:00,13:10:00,58,13,0 days 01:25:00
3305,DHANBAD JN.,KUSUNDA,11:30:00,11:50:00,3,2,0 days 00:20:00
3306,KUSUNDA,DHANBAD JN.,12:05:00,12:25:00,3,2,0 days 00:20:00
3307,SONARDIH,PHULWARTANR,14:40:00,15:15:00,4,4,0 days 00:35:00
3308,PHULWARTANR,SONARDIH,13:15:00,13:45:00,4,4,0 days 00:30:00
3501,JASIDIH JN.,ANAND VIHAR,18:30:00,14:10:00,1193,5,0 days 19:40:00
3502,ANAND VIHAR,JASIDIH JN.,19:50:00,17:30:00,1193,5,0 days 21:40:00
4401,ANAND VIHAR,SHRI MATA VA,22:20:00,13:00:00,710,13,0 days 14:40:00
4402,SHRI MATA VA,ANAND VIHAR,23:50:00,14:05:00,710,13,0 days 14:15:00
4409,DELHI JN.,SHRI MATA VA,21:10:00,11:30:00,653,7,0 days 14:20:00
4410,SHRI MATA VA,DELHI JN.,13:30:00,03:15:00,653,7,0 days 13:45:00
4419,MADGOAN JN.,HAZRAT NIZAM,10:40:00,16:55:00,1916,13,1 days 06:15:00
4420,HAZRAT NIZAM,MADGOAN JN.,15:35:00,19:40:00,1924,13,1 days 04:05:00
